Loop Run Count,Model,Device,Load Time,Transform Time,Predict Time,Image Name,Resolution,Inference Time,Accuracy,Argmax Class,TopK Class
16,mobilenetv3,cpu,2024-11-12 01:39:41.603281+00:00,2024-11-12 01:39:41.605858+00:00,2024-11-12 01:39:41.613320+00:00,cat_1.jpg,441x350,0.8941,53.589,"tabby, tabby cat","tabby, tabby cat"
16,mobilenetv3,cpu,2024-11-12 01:39:42.499211+00:00,2024-11-12 01:39:42.504622+00:00,2024-11-12 01:39:42.516266+00:00,cat_2.jpg,356x500,1.1732,99.132,Persian cat,Persian cat
16,mobilenetv3,cpu,2024-11-12 01:39:43.674245+00:00,2024-11-12 01:39:43.678851+00:00,2024-11-12 01:39:43.687941+00:00,dog_0.jpg,375x500,0.9593,69.595,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
16,mobilenetv3,cpu,2024-11-12 01:39:44.635401+00:00,2024-11-12 01:39:44.642100+00:00,2024-11-12 01:39:44.648532+00:00,dog_1.jpg,375x500,0.9972,81.686,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
17,mobilenetv3,cpu,2024-11-12 01:39:45.634573+00:00,2024-11-12 01:39:45.637018+00:00,2024-11-12 01:39:45.644032+00:00,1.jpg,499x381,0.8742,40.332,Italian greyhound,Italian greyhound
17,mobilenetv3,cpu,2024-11-12 01:39:46.510537+00:00,2024-11-12 01:39:46.518023+00:00,2024-11-12 01:39:46.528839+00:00,cat_0.jpg,640x481,0.9372,14.485,water jug,water jug
17,mobilenetv3,cpu,2024-11-12 01:39:47.449976+00:00,2024-11-12 01:39:47.452471+00:00,2024-11-12 01:39:47.468064+00:00,cat_1.jpg,441x350,1.0804,53.589,"tabby, tabby cat","tabby, tabby cat"
17,mobilenetv3,cpu,2024-11-12 01:39:48.532220+00:00,2024-11-12 01:39:48.537596+00:00,2024-11-12 01:39:48.544675+00:00,cat_2.jpg,356x500,0.993,99.132,Persian cat,Persian cat
17,mobilenetv3,cpu,2024-11-12 01:39:49.526983+00:00,2024-11-12 01:39:49.531640+00:00,2024-11-12 01:39:49.538563+00:00,dog_0.jpg,375x500,0.917,69.595,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
17,mobilenetv3,cpu,2024-11-12 01:39:50.446276+00:00,2024-11-12 01:39:50.451027+00:00,2024-11-12 01:39:50.467882+00:00,dog_1.jpg,375x500,0.9777,81.686,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
18,mobilenetv3,cpu,2024-11-12 01:39:51.425897+00:00,2024-11-12 01:39:51.428318+00:00,2024-11-12 01:39:51.438073+00:00,1.jpg,499x381,1.0845,40.332,Italian greyhound,Italian greyhound
18,mobilenetv3,cpu,2024-11-12 01:39:52.512330+00:00,2024-11-12 01:39:52.519835+00:00,2024-11-12 01:39:52.528253+00:00,cat_0.jpg,640x481,1.0754,14.485,water jug,water jug
18,mobilenetv3,cpu,2024-11-12 01:39:53.589592+00:00,2024-11-12 01:39:53.592103+00:00,2024-11-12 01:39:53.598802+00:00,cat_1.jpg,441x350,0.6857,53.589,"tabby, tabby cat","tabby, tabby cat"
18,mobilenetv3,cpu,2024-11-12 01:39:54.277041+00:00,2024-11-12 01:39:54.282396+00:00,2024-11-12 01:39:54.288712+00:00,cat_2.jpg,356x500,0.9042,99.132,Persian cat,Persian cat
18,mobilenetv3,cpu,2024-11-12 01:39:55.183018+00:00,2024-11-12 01:39:55.187663+00:00,2024-11-12 01:39:55.194625+00:00,dog_0.jpg,375x500,0.8582,69.595,"malamute, malemute, Alaskan malamute","malamute, malemute, Alaskan malamute"
18,mobilenetv3,cpu,2024-11-12 01:39:56.042920+00:00,2024-11-12 01:39:56.047654+00:00,2024-11-12 01:39:56.069128+00:00,dog_1.jpg,375x500,1.1489,81.686,"Newfoundland, Newfoundland dog","Newfoundland, Newfoundland dog"
