2025-02-18 11:10:04,073 - INFO - Time: 11:10:04 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 124.785, raspberry_pi: 53.760 | Reason: High queue length (118)
2025-02-18 11:10:04,213 - INFO - Time: 11:10:04 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 116.485, raspberry_pi: 53.760 | Reason: High queue length (126)
2025-02-18 11:10:04,335 - INFO - Time: 11:10:04 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 116.598, raspberry_pi: 53.760 | Reason: High queue length (126)
2025-02-18 11:10:04,460 - INFO - Time: 11:10:04 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 116.690, raspberry_pi: 53.760 | Reason: High queue length (126)
2025-02-18 11:10:04,613 - INFO - Time: 11:10:04 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 116.455, raspberry_pi: 53.760 | Reason: High queue length (126)
2025-02-18 11:10:04,721 - INFO - Time: 11:10:04 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 116.701, raspberry_pi: 53.760 | Reason: High queue length (126)
2025-02-18 11:10:04,830 - INFO - Time: 11:10:04 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 116.922, raspberry_pi: 53.760 | Reason: High queue length (126)
2025-02-18 11:10:05,078 - INFO - Time: 11:10:05 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 115.848, raspberry_pi: 53.760 | Reason: High queue length (126)
2025-02-18 11:10:05,155 - INFO - Time: 11:10:05 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 116.473, raspberry_pi: 53.760 | Reason: High queue length (126)
2025-02-18 11:10:05,295 - INFO - Time: 11:10:05 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 108.956, raspberry_pi: 53.760 | Reason: High queue length (134)
2025-02-18 11:10:05,418 - INFO - Time: 11:10:05 | Model: resnet18 | Selected: jetson_orin | Scores: jetson_orin: 109.049, raspberry_pi: 53.760 | Reason: High queue length (134)
