time,uptime,CPU1,CPU2,CPU3,CPU4,RAM,SWAP,EMC,IRAM,GPU,APE,APE_MASTER,NVDEC,NVENC,NVJPG,SE,VIC03,Fan tegra_pwmfan0,Temp AO,Temp CPU,Temp GPU,Temp PLL,Temp thermal,Power POM_5V_CPU,Power POM_5V_GPU,Power TOT,jetson_clocks,nvp model
2024-11-01T18:41:16.506431,04:08:54,100,100,100,99,0.3466294183147584,0.016157166,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,47,43.5,43,41,43,2934,0,4935,OFF,MAXN
2024-11-01T18:41:17.551934,04:08:55,99,100,99,98,0.34672894433440743,0.016156212002002717,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,47,43,43,41,43.25,2893,0,4903,OFF,MAXN
2024-11-01T18:41:18.527031,04:08:56,100,100,100,100,0.3467210610853263,0.016156212002002717,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,47,43,43.5,41.5,43.25,2974,0,4782,OFF,MAXN
2024-11-01T18:41:19.536732,04:08:57,100,100,100,99,0.3465959145061637,0.016155258326776816,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,47,43,43.5,41.5,43.25,3089,0,4903,OFF,MAXN
2024-11-01T18:41:20.523210,04:08:58,100,99,100,100,0.34674766705097504,0.016155258326776816,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,47,43,43.5,41.5,43.25,2974,0,4629,OFF,MAXN
2024-11-01T18:41:21.545741,04:08:59,100,100,99,99,0.3465032863294607,0.016154304651550915,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,47,43.5,43.5,41.5,44,3290,0,4863,OFF,MAXN
2024-11-01T18:41:22.504444,04:09:00,100,98,100,100,0.3466865718705965,0.016154304651550915,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,47,43,43.5,41.5,43.25,3089,0,4669,OFF,MAXN
2024-11-01T18:41:23.565307,04:09:01,100,98,100,100,0.34674766705097504,0.016153350976325014,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,47,43,43.5,41.5,43.75,2969,0,5016,OFF,MAXN
2024-11-01T18:41:24.448592,04:09:02,100,100,99,100,0.34662153506567733,0.016152397,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,47.5,43.5,44,42,43.5,3014,0,4548,OFF,MAXN
2024-11-01T18:41:25.571019,04:09:03,100,100,100,99,0.34665306806200175,0.016152397,0,0,0,25500,OFF,OFF,OFF,OFF,OFF,OFF,0,47,43,43.5,41.5,43.75,3205,0,4855,OFF,MAXN
